Question,Option A,Option B,Option C,Option D,Answer
Who was the first Mughal Emperor of India?,Babur,Akbar,Humayun,Shah Jahan,Babur
Who built the Taj Mahal?,Jahangir,Shah Jahan,Akbar,Babur,Shah Jahan
Who led the Dandi March?,Sardar Patel,Mahatma Gandhi,Jawaharlal Nehru,Subhas Chandra Bose,Mahatma Gandhi
What was the main aim of the Non-Cooperation Movement?,Independence,Industrial Development,Religious Harmony,Economic Reforms,Independence
Who was the founder of the Indian National Congress?,A.O. Hume,Dadabhai Naoroji,Bal Gangadhar Tilak,Lala Lajpat Rai,A.O. Hume
Who introduced the Doctrine of Lapse?,Lord Dalhousie,Lord Wellesley,Lord Curzon,Lord Ripon,Lord Dalhousie
Which movement is associated with the slogan 'Do or Die'?,Civil Disobedience Movement,Quit India Movement,Non-Cooperation Movement,Swadeshi Movement,Quit India Movement
Who was the founder of the Mughal Empire in India?,Akbar,Humayun,Babur,Shah Jahan,Babur
Which dynasty was known for its rock-cut caves and temples?,Maurya,Gupta,Rashtrakuta,Chola,Rashtrakuta
Who was the ruler during the Third Battle of Panipat?,Baji Rao I,Ahmad Shah Abdali,Nana Sahib,Shivaji,Ahmad Shah Abdali
Who is called the Napoleon of India?,Ashoka,Samudragupta,Harsha,Chandragupta II,Samudragupta
What was the primary objective of the Swadeshi Movement?,Political Independence,Boycott of Foreign Goods,Self-Governance,Educational Reforms,Boycott of Foreign Goods
Which Gupta ruler was known as the "Indian Napoleon"?,Chandragupta I,Samudragupta,Skandagupta,Kumaragupta I,Samudragupta
Who introduced the Ryotwari system in India?,Lord Dalhousie,Lord Wellesley,Lord Hastings,Thomas Munro,Thomas Munro
Where did Mahatma Gandhi start his first Satyagraha in India?,Champaran,Dandi,Bardoli,Kheda,Champaran
Who was the founder of the Vijayanagara Empire?,Harihara and Bukka,Krishnadevaraya,Raja Raja Chola,Devaraya II,Harihara and Bukka
What was the main occupation of the people during the Indus Valley Civilization?,Farming,Weaving,Trade,Pottery,Farming
Who built the Red Fort in Delhi?,Shah Jahan,Akbar,Babur,Jahangir,Shah Jahan
What is the significance of the year 1919 in Indian history?,Jallianwala Bagh Massacre,Partition of Bengal,Non-Cooperation Movement,Quit India Movement,Jallianwala Bagh Massacre
Who is known as the Lion of Punjab?,Lala Lajpat Rai,Bhagat Singh,Sardar Patel,Ranjit Singh,Lala Lajpat Rai
Who wrote the book Arthashastra?,Kalidasa,Kautilya,Banabhatta,Patanjali,Kautilya
What was the original name of Swami Vivekananda?,Narendra Nath Datta,Ramakrishna Paramahamsa,Sri Aurobindo,Bal Gangadhar Tilak,Narendra Nath Datta
Which movement led to the suspension of the Non-Cooperation Movement?,Rowlatt Act,Khilafat Movement,Chauri Chaura Incident,Jallianwala Bagh Incident,Chauri Chaura Incident
Which emperor is famous for his edicts and inscriptions?,Akbar,Chandragupta Maurya,Ashoka,Kanishka,Ashoka
Where is the famous Sun Temple located?,Konark,Modhera,Khajuraho,Hampi,Konark
What was the capital of the Chola dynasty?,Tanjore,Kanchi,Trichy,Madurai,Tanjore
Who was the leader of the Civil Disobedience Movement?,Sardar Patel,Mahatma Gandhi,Jawaharlal Nehru,Subhas Chandra Bose,Mahatma Gandhi
During whose reign was the Iron Pillar at Mehrauli erected?,Ashoka,Chandragupta I,Samudragupta,Harsha,Chandragupta I
What was the outcome of the Battle of Plassey?,End of Mughal Rule,Rise of British Power,Formation of INC,Partition of Bengal,Rise of British Power
Who founded the Arya Samaj?,Dayanand Saraswati,Raja Ram Mohan Roy,Swami Vivekananda,Bal Gangadhar Tilak,Dayanand Saraswati
What was the main objective of the Dandi March?,To Oppose the Salt Tax,To Gain Independence,To Boycott British Goods,To Demand Swaraj,To Oppose the Salt Tax
Who was the last ruler of the Maurya dynasty?,Ashoka,Bindusara,Brihadratha,Chandragupta Maurya,Brihadratha
