Question,Option A,Option B,Option C,Option D,Answer
What is the smallest bird in the world?,Sparrow,Robin,Hummingbird,Finch,Hummingbird
Who was the first person to step on the moon?,Buzz Aldrin,Neil Armstrong,Yuri Gagarin,Michael Collins,Neil Armstrong
Which is the largest freshwater lake in the world?,Lake Superior,Lake Baikal,Lake Victoria,Lake Michigan,Lake Superior
What is the currency of the United Kingdom?,Euro,Pound Sterling,Dollar,Franc,Pound Sterling
Who wrote the famous book The Origin of Species?,Charles Darwin,Gregor Mendel,Isaac Newton,Albert Einstein,Charles Darwin
Which planet has the most moons?,Mars,Jupiter,Saturn,Uranus,Saturn
What is the chemical symbol for iron?,Ir,Fe,I,In,Fe
Who is the inventor of the light bulb?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Benjamin Franklin,Thomas Edison
Which country is known as the Land of White Elephants?,Thailand,India,Sri Lanka,Myanmar,Thailand
What is the largest organ in the human body?,Heart,Liver,Skin,Lungs,Skin
What is the capital of Canada?,Toronto,Ottawa,Vancouver,Montreal,Ottawa
Who painted the Mona Lisa?,Pablo Picasso,Leonardo da Vinci,Vincent van Gogh,Claude Monet,Leonardo da Vinci
What is the largest ocean in the world?,Atlantic,Indian,Pacific,Arctic,Pacific
Which instrument is used to measure temperature?,Barometer,Thermometer,Hygrometer,Anemometer,Thermometer
Which year was the United Nations established?,1945,1950,1939,1960,1945
What is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Hippopotamus,Blue Whale
What is the smallest prime number?,1,2,3,5,2
What is the national sport of Canada?,Soccer,Ice Hockey,Cricket,Rugby,Ice Hockey
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Isaac Newton,Alexander Fleming
What is the currency of Japan?,Dollar,Yuan,Yen,Won,Yen
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Saturn,Mars
Who wrote 'Hamlet'?,Charles Dickens,William Shakespeare,Mark Twain,Leo Tolstoy,William Shakespeare
What is the smallest continent?,Africa,Europe,Australia,Antarctica,Australia
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Henry Ford,Alexander Graham Bell
What is the boiling point of water at sea level?,90°C,100°C,110°C,120°C,100°C
Which is the largest country by area?,USA,Russia,Canada,China,Russia
What is the tallest mountain in the world?,K2,Mount Everest,Mount Kilimanjaro,Denali,Mount Everest
Who is known as the Father of Computers?,Charles Babbage,Alan Turing,Bill Gates,Steve Jobs,Charles Babbage
What is the national flower of Japan?,Rose,Lily,Cherry Blossom,Orchid,Cherry Blossom
What is the hardest natural substance?,Gold,Diamond,Iron,Platinum,Diamond
What is the smallest unit of matter?,Atom,Molecule,Proton,Electron,Atom
What color is the sun?,Yellow,White,Red,Blue,White
Who discovered gravity?,Albert Einstein,Isaac Newton,Galileo Galilei,Nikola Tesla,Isaac Newton
What is the fastest land animal?,Cheetah,Lion,Leopard,Jaguar,Cheetah
