Question,Option A,Option B,Option C,Option D,Answer
"What is Django?", "A Python framework", "A JavaScript framework", "A web server", "A database", "A Python framework"
"What is Django's ORM?", "Object-Relational Mapper", "Object-Oriented Model", "Object-Request Map", "Online Request Manager", "Object-Relational Mapper"
"Which of these is a built-in Django model field?", "CharField", "TextField", "IntegerField", "All of the above", "All of the above"
"How do you start a Django project?", "django startproject", "django createproject", "django init project", "django newproject", "django startproject"
"What command is used to create a new Django app?", "python manage.py createapp", "python manage.py newapp", "python manage.py startapp", "django createapp", "python manage.py startapp"
"What is Django's default database?", "SQLite", "PostgreSQL", "MySQL", "MongoDB", "SQLite"
"What is the main file for configuration in Django?", "settings.py", "urls.py", "views.py", "models.py", "settings.py"
"What is a Django migration?", "Changing the database schema", "Adding new models", "Updating view logic", "Modifying templates", "Changing the database schema"
"Which file contains URL routing in Django?", "urls.py", "views.py", "models.py", "settings.py", "urls.py"
"How do you create a new model in Django?", "python manage.py makemodel", "models.py", "python manage.py migrate", "models.py", "models.py"
"Which Django function is used to render a template?", "render()", "render_template()", "template()", "render_html()", "render()"
"What is a Django view?", "A Python function", "A HTML page", "A database table", "A static file", "A Python function"
"What is a Django template?", "HTML file with Django tags", "Python function", "Database schema", "CSS file", "HTML file with Django tags"
"What is a Django queryset?", "A collection of database records", "A Django template", "A static file", "A Python dictionary", "A collection of database records"
"How do you apply migrations in Django?", "python manage.py makemigrations", "python manage.py migrate", "python manage.py syncdb", "python manage.py dbupdate", "python manage.py migrate"
"What is the Django admin interface used for?", "Managing the database", "Managing URLs", "Writing views", "Serving static files", "Managing the database"
"What is a Django middleware?", "A component that processes requests", "A type of view", "A type of template", "A database system", "A component that processes requests"
"What is the function of the `get_object_or_404` function?", "Fetches an object or returns 404 error", "Fetches an object or returns None", "Fetches a view", "Fetches a model", "Fetches an object or returns 404 error"
"What is the difference between `url()` and `path()` in Django?", "`url()` is for older versions, `path()` is for newer", "`url()` is for models, `path()` is for views", "`path()` is a deprecated method", "None of the above", "`url()` is for older versions, `path()` is for newer"
"How do you add a static file in Django?", "Add in `static` folder", "Use the `django.contrib.staticfiles` app", "Add in the `media` folder", "Both A and B", "Both A and B"
"How do you add a template in Django?", "Place it in `templates` folder", "Use `TEMPLATES` setting in `settings.py`", "Use `django.template` module", "Both A and B", "Both A and B"
"What is the purpose of `urlpatterns` in Django?", "Defines the URL patterns for views", "Defines the views", "Defines the database schema", "Defines the templates", "Defines the URL patterns for views"
"What is Django's default template engine?", "Jinja2", "Mako", "Django Template Language", "Python", "Django Template Language"
"How do you handle form data in Django?", "Using `forms.py`", "Using `models.py`", "Using `views.py`", "Using `urls.py`", "Using `forms.py`"
"Which Django function is used to redirect to a URL?", "HttpResponseRedirect", "HttpResponse", "redirect()", "reverse()", "redirect()"
"What is a Django model?", "A representation of a database table", "A view function", "A database schema", "A template", "A representation of a database table"
"How do you perform a database query in Django?", "Using SQL queries", "Using Django's ORM", "Using direct database access", "Using a view", "Using Django's ORM"
"Which of the following is used for creating user authentication in Django?", "django.contrib.auth", "django.auth", "django.auth_users", "django.contrib.user", "django.contrib.auth"
"How do you send an email in Django?", "Using `send_email()`", "Using `EmailMessage` class", "Using `sendmail()`", "Using SMTP server directly", "Using `EmailMessage` class"
"Which of these is a valid Django model field?", "CharField", "TextField", "IntegerField", "All of the above", "All of the above"
"What is the purpose of `request.POST` in Django?", "To get form data from the request", "To get headers from the request", "To get URL parameters", "To handle authentication", "To get form data from the request"
"Which function is used to render a response in Django?", "HttpResponse()", "render()", "JsonResponse()", "render_to_response()", "render()"
"What is Django's `runserver` command used for?", "Starting the development server", "Running migrations", "Starting a database", "Running tests", "Starting the development server"
"How do you create a custom admin interface in Django?", "By overriding `admin.ModelAdmin`", "By changing the `admin.py` file", "By writing custom templates", "All of the above", "All of the above"
"What is Django's built-in authentication system?", "django.contrib.auth", "django.auth", "django.contrib.login", "django.security.auth", "django.contrib.auth"
"Which of the following is used for URL routing in Django?", "urls.py", "views.py", "models.py", "admin.py", "urls.py"
"How do you add a custom view in Django?", "By creating a function in `views.py`", "By adding a URL in `urls.py`", "By adding a template in `templates`", "All of the above", "All of the above"
"Which Django setting defines the database?", "DATABASES", "DATABASE", "DATABASE_ENGINE", "DB_CONFIG", "DATABASES"
"What command is used to create a Django superuser?", "python manage.py createsuperuser", "python manage.py createadmin", "python manage.py createsuper", "python manage.py createsuperadmin", "python manage.py createsuperuser"
"How can you create a custom Django management command?", "By creating a file in `management/commands`", "By modifying `manage.py`", "By modifying `models.py`", "By modifying `settings.py`", "By creating a file in `management/commands`"
"What is the purpose of `django.urls.reverse`?", "To generate URLs based on view names", "To create a redirect URL", "To resolve static files", "To get a URL parameter", "To generate URLs based on view names"
"How can you create an API in Django?", "By using `django-rest-framework`", "By using Django's ORM", "By using Django views", "By using HTML forms", "By using `django-rest-framework`"
"What is the role of `urlpatterns` in Django?", "It maps URLs to views", "It defines the database schema", "It defines models", "It defines settings", "It maps URLs to views"
"How do you include a static file in a Django template?", "Using `{% static %}` tag", "Using `static()` function", "Using `include()`", "Using `media()`", "Using `{% static %}` tag"
"What is the correct command for creating a new migration?", "python manage.py makemigrations", "python manage.py migrate", "python manage.py syncdb", "python manage.py update", "python manage.py makemigrations"
