Question,Option A,Option B,Option C,Option D,Answer
What is the chemical formula for table salt?,NaCl,H2O,CO2,KCl,NaCl
What planet is known as the Earth's twin?,Mars,Venus,Jupiter,Mercury,Venus
Which part of the human body produces insulin?,Liver,Pancreas,Kidneys,Heart,Pancreas
What is the symbol for the element oxygen?,Ox,O,O2,Om,O
How many legs do insects have?,Four,Six,Eight,Ten,Six
What is the boiling point of water at sea level?,90°C,100°C,110°C,120°C,100°C
What gas do humans exhale?,Oxygen,Carbon Dioxide,Nitrogen,Helium,Carbon Dioxide
What is the gas required for photosynthesis?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Carbon Dioxide
What organ pumps blood through the body?,Lungs,Heart,Liver,Kidneys,Heart
What is H2O commonly known as?,Oxygen,Water,Hydrogen,Salt,Water
What is the chemical symbol for gold?,Au,Ag,Fe,Pb,Au
What is the center of an atom called?,Electron,Proton,Nucleus,Neutron,Nucleus
What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Helium,Carbon Dioxide
Which is the smallest planet in the solar system?,Earth,Mars,Mercury,Pluto,Mercury
What is the powerhouse of the cell?,Nucleus,Ribosome,Mitochondria,Cytoplasm,Mitochondria
What is the most abundant gas in Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Argon,Nitrogen
What is the speed of light?,300,000 km/s,150,000 km/s,1,000 km/s,500,000 km/s,300,000 km/s
What element does 'O' represent on the periodic table?,Oxygen,Gold,Silver,Iron,Oxygen
What is the hardest substance in the human body?,Bone,Tooth Enamel,Hair,Nail,Tooth Enamel
What is the process by which plants make food?,Respiration,Photosynthesis,Fermentation,Transpiration,Photosynthesis
Which metal is a liquid at room temperature?,Mercury,Iron,Lead,Aluminum,Mercury
What is the basic unit of life?,Cell,Atom,Tissue,Organ,Cell
How many bones are in the human body?,200,206,210,215,206
What is the freezing point of water?,0°C,32°C,-32°C,100°C,0°C
What is the Earth's primary source of energy?,Moon,Sun,Volcanoes,Wind,Sun
Which blood type is known as the universal donor?,A,B,AB,O,O
Which organ is responsible for detoxifying the blood?,Heart,Kidney,Liver,Lungs,Liver
